Month,Income/Debt,Growth/Equity,Balanced,Liquid,Total
30.04.2002,57614,14093,16886,8423,102831
31.05.2002,57238,13653,15167,10541,102231
30.06.2002,55205,14393,15482,10138,100703
31.07.2002,59120,13606,14466,10001,102393
31.08.2002,62675,14237,14538,10896,107621
30.09.2002,64408,13162,13105,11087,106929
31.10.2002,70020,13213,12968,11689,113153
30.11.2002,76182,13554,13832,12386,121393
31.12.2002,77469,14371,14164,10801,122600
31.01.2003,76048,14103,13753,12232,121805
28.02.2003,51905,11117,2808,15880,87190
31.03.2003,47564,9887,3141,13734,79464
30.04.2003,51407,10000,3167,19497,89238
31.05.2003,57952,11069,3277,20314,98124
30.06.2003,62871,12181,3403,20139,104762
31.07.2003,66443,13586,3455,22732,112841
31.08.2003,70163,15752,3689,23578,121040
30.09.2003,69466,16630,3794,22845,121778
31.10.2003,72794,17913,3920,22055,126726
30.11.2003,71716,18659,3982,28860,132366
31.12.2003,71258,22938,4663,32424,140093
31.01.2004,69320,23143,4404,40112,145373
29.02.2004,65396,23022,4323,45200,145657
31.03.2004,62524,23613,4080,41704,139616
30.04.2004,68308,24579,4221,49065,154024
31.05.2004,65591,21604,4298,54993,154018
30.06.2004,59431,21869,4382,63015,155845
31.07.2004,56236,23105,4388,67079,157747
31.08.2004,54022,24570,4480,65888,155686
30.09.2004,53474,25610,4425,62982,153108
31.10.2004,52068,26124,4449,58825,147995
30.11.2004,49485,28382,4641,60483,149581
31.12.2004,47451,31551,5472,59447,150537
31.01.2005,48490,31834,5454,60028,152280
28.02.2005,49904,32262,5582,59135,153253
31.03.2005,47605,36757,4867,54068,149600
30.04.2005,48579,37309,4864,61616,158422
31.05.2005,50251,43236,5079,63331,167978
30.06.2005,49887,42461,5067,60875,164546
31.07.2005,51519,46637,5367,66027,175918
31.08.2005,54853,53421,5780,75376,195784
30.09.2005,54133,59819,6185,74058,201669
31.10.2005,54918,57257,6153,74984,200209
30.11.2005,56196,63937,6597,70394,204519
31.12.2005,52903,67144,6833,64711,199248
31.01.2006,50737,69975,7088,72100,207979
28.02.2006,51453,77560,7191,72868,217707
31.03.2006,60278,92867,7493,61500,231862
30.04.2006,57546,97638,7829,84271,257499
31.05.2006,57436,93748,7279,108854,276343
30.06.2006,54113,87196,6961,108776,265534
31.07.2006,59007,88198,7117,124463,287159
31.08.2006,67301,95093,7667,128102,307107
30.09.2006,72104,101184,7911,100622,291206
31.10.2006,79172,106484,8145,106540,310171
30.11.2006,86702,113548,8377,122422,341378
31.12.2006,86350,119538,9170,97757,323598
31.01.2007,89665,121751,9383,107204,339662
28.02.2007,97822,113242,8769,122258,353310
31.03.2007,119322,113386,9110,72006,326388
30.04.2007,126097,117047,9600,79936,350467
31.05.2007,145060,122800,10010,115956,414172
30.06.2007,150913,126368,10795,91201,400842
31.07.2007,183950,133755,11219,135526,486646
31.08.2007,186660,138328,11789,110406,467623
30.09.2007,184697,150298,13389,105706,476989
31.10.2007,218508,168387,16766,126293,556730
30.11.2007,211325,174307,17697,108239,537943
31.12.2007,197342,192129,19937,112349,549936
31.01.2008,213753,172885,18728,118004,548064
29.02.2008,232428,175898,18364,112400,562820
31.03.2008,220762,156722,16283,89402,505152
30.04.2008,256877,168953,17582,126060,595010
31.05.2008,272485,162013,16498,112647,588643
30.06.2008,256076,137154,14098,92239,521899
31.07.2008,540623,142939,15056,92757,540623
31.08.2008,270353,144669,15286,89117,544535
30.09.2008,246281,129699,13820,70131,483279
31.10.2008,192104,98430,10833,71411,394711
30.11.2008,192838,92520,10268,88858,405112
31.12.2008,197132,99081,11348,82776,413365
31.01.2009,238857,93828,10718,111985,478258
28.02.2009,259517,89874,10293,127591,508670
31.03.2009,197343,95817,10629,90594,417300
30.04.2009,306080,108507,11969,142432,593516
31.05.2009,337401,141958,15511,141059,664450
30.06.2009,284930,142814,15660,111215,582679
31.07.2009,380785,156793,16599,139156,721886
31.08.2009,422911,160797,16671,127429,756638
30.09.2009,311905,169887,17687,97792,627999
31.10.2009,463430,161017,16630,104250,774796
30.11.2009,501739,170229,17407,100931,821659
31.12.2009,360469,174681,17602,80102,665146
31.01.2010,470688,168117,17132,71502,758712
28.02.2010,476384,168672,17141,73030,766869
31.03.2010,311715,174054,17246,78094,613979
30.04.2010,496352,176830,17757,83827,808541
31.05.2010,467278,171681,17130,53933,743116
30.06.2010,328304,178305,17896,71871,630185
31.07.2010,331949,178492,18264,105333,668605
31.08.2010,347321,179200,18781,128843,709666
30.09.2010,322625,185484,19408,91516,657313
31.10.2010,318570,183749,19462,85972,646395
30.11.2010,331272,177162,18871,99190,665282
31.12.2010,297937,181224,19486,88681,626314
31.01.2011,309363,165002,18104,162437,691080
28.02.2011,323766,159050,17519,171519,707412
31.03.2011,291975,169754,18445,73666,592250
30.04.2011,334683,170406,18621,22395,785374
31.05.2011,323327,167470,18376,183622,731448
30.06.2011,305566,168966,17558,142567,673176
31.07.2011,324181,166978,17473,180331,728187
31.08.2011,318029,155382,16409,168625,696738
30.09.2011,304075,154890,16327,128537,641937
31.10.2011,314680,161532,16799,162553,695437
30.11.2011,313042,148353,15468,166521,681655
31.12.2011,298569,140612,14556,120713,611402
31.01.2012,297957,156636,16207,147812,659153
29.02.2012,297540,161752,16752,157455,675238
31.03.2011,290844,158432,16261,80354,587217
30.04.2012,309738,156195,16224,156844,680154
31.05.2012,313422,148310,15478,182617,699284
30.06.2012,316735,156389,16231,158853,688825
31.07.2012,340181,155134,16118,178136,730361
31.08.2012,349311,153015,15761,193466,752548
30.09.2012,352322,162711,17016,144675,720113
31.10.2012,383398,159469,16789,164378,768158
30.11.2012,387408,165086,17371,176984,793152
31.12.2012,378196,166538,18034,149582,759995
31.01.2013,398542,165022,18004,195880,826155
28.02.2013,392907,152969,16678,204308,813530
31.03.2013,395985,149777,16307,93392,701443
30.04.2013,422300,155193,17126,184195,825552
31.05.2013,447199,152263,16882,205863,868426
30.06.2013,441311,147598,16134,162390,811481
31.07.2013,431733,140936,15157,129000,760833
31.08.2013,420266,136065,14607,149880,766103
30.09.2013,424596,140637,15218,122142,745969
31.10.2013,433970,149832,16141,189149,833961
30.11.2013,431050,151574,16135,246401,889952
31.12.2013,424445,158397,16813,181238,825840
31.01.2014,431944,152206,16047,258980,903255
28.02.2014,447181,157227,16195,250822,916393
31.03.2014,460671,165560,16793,133280,825240
30.04.2014,458009,166826,13370,259310,945321
31.05.2014,473887,189200,14728,282700,1011102
30.06.2014,478982,210794,15914,215995,974715
31.07.2014,471651,221313,16217,244220,1006452
31.08.2014,461114,234821,17293,245035,1012824
30.09.2014,454495,247585,18277,184525,959415
31.10.2014,475968,262838,21080,278807,1095653
30.11.2014,500595,278682,22769,228149,1090309
31.12.2014,502154,283221,24490,178491,1051343
31.01.2014,520234,302205,25792,265358,1181356
28.02.2015,522366,306504,26507,276070,1202196
31.03.2015,515773,305669,26368,162562,1082757
30.04.2015,514628,306792,27015,266722,1186364
31.05.2015,522178,325514,28749,253899,1203547
30.06.2015,528900,332884,32259,206979,1173294
31.07.2015,555884,352390,34550,300738,1317267
31.08.2015,571089,343314,34660,234141,1255506
30.09.2015,549563,346990,36633,178507,1187313
31.10.2015,575324,356452,37682,276655,1324165
30.11.2015,579118,362069,38559,236486,1295131
31.12.2015,555364,364562,42193,232970,1274835
31.01.2016,571933,345181,41121,236700,1273712
29.02.2016,571192,318233,39104,257986,1262842
31.03.2016,565459,344707,39146,199404,1232824
30.04.2016,601609,356719,40764,337049,1421952
31.05.2016,611130,370322,42695,269746,1381625
30.06.2016,617303,381719,45992,244129,1380747
31.07.2016,669933,401469,49994,300995,1518097
31.08.2016,704240,416814,53881,289707,1563177
30.09.2016,698418,417285,56816,308688,1580076
31.10.2016,754662,432411,61107,277981,1628976
30.11.2016,784305,418363,62907,281011,1650011
31.12.2016,748071,419562,64954,308731,1646337
31.01.2017,783778,442810,71021,321889,1737087
28.02.2017,794679,463296,77126,331777,1789047
31.03.2017,743783,482138,84763,314086,1754619
30.04.2017,780797,504971,93530,413746,1926302
31.05.2017,792734,518365,102156,354202,1903975
30.06.2017,778266,525264,109513,344923,1896291
31.07.2017,845484,559409,121243,323351,1996905
31.08.2017,858188,573839,128320,349039,2059289
30.09.2017,809965,588478,134868,355408,2040301
31.10.2017,855778,632408,147460,344422,2141346
30.11.2017,867736,656269,155105,429066,2279032
31.12.2017,808252,690153,167385,286305,2126665
31.01.2018,801405,703930,176087,381930,2241275
28.02.2018,791494,695870,174468,387269,2220326
31.03.2018,785553,669207,172151,335525,2136036
30.04.2018,790016,658261,181306,456717,2325505
31.05.2018,784822,656340,177995,398302,2259578
30.06.2018,760715,647659,174737,457831,2286401
31.07.2018,759479,684087,180647,428557,2305538
31.08.2018,757137,712665,187924,604266,2520430
30.09.2018,722971,663138,177065,394774,2204423
31.10.2018,689034,659407,174523,454432,2223560
30.11.2018,689470,684665,177702,593546,2403134
31.12.2018,691779,698546,179411,446229,2285912
31.01.2019,697494,687086,175608,509156,2337118
28.02.2019,695780,686055,172783,487980,2316403
31.03.2019,718919,744020,180648,436224,2379584
30.04.2019,1244860.64,738191.75,146292.12,477842.96,2478756.93
31.05.2019,1326111.39,759025.68,146884.91,548835.1,2593559.63
30.06.2019,1154728.56,758000.95,144244.49,397990.08,2425040.37
31.07.2019,1225741.1,716115.1,139060.59,446268.46,2453626.38
31.08.2019,1322366.04,716208.83,136278.71,527472.56,2547593.76
30.09.2019,1165381.45,757160.59,139036.34,388424.7,2450786.76
31.10.2019,1295335.31,788929.93,140239.05,483822.79,2632824.43
30.11.2019,1353476.5,796137.37,136543.87,492696.84,2704699.41
31.12.2019,1279181.59,804368.28,134916.3,423504.17,2654074.76
31.01.2020,1393432.51,823450.53,133639.72,485061.76,2785803.67
29.02.2020,1373626.06,788808.74,126575.14,443108.33,2722937.39
31.03.2020,1180157.11,602961.54,100990.17,334725.33,2226202.88
30.04.2020,1217969.52,687046.5,109858.47,405393.37,2393485.71
31.05.2020,1286115.62,677113.2,107220.81,469085.74,2454757.57
30.06.2020,1299033.18,729064.94,111624.38,426408.46,2548848.43
31.07.2020,1396246.56,765446.29,114273.35,441758.47,2711894.09
31.08.2020,1388988.71,798350.44,115297.23,427392.32,2749388.69
30.09.2020,1341449.89,792872.62,111089.6,362334.24,2685981.94
31.10.2020,1458555.06,805047.34,110994.02,383000.13,2822940.86
30.11.2020,1511709.29,888497.22,118310.28,375646.62,3000904.42
31.12.2020,1531082.61,936805.68,121100.3,381646.68,3102475.5
31.01.2021,1499319.2,915056.71,116666.88,337311.47,3050130.04
28.02.2021,1499618.04,986642.33,122778.92,355554.1,3164113.66
31.03.2021,1453822.28,1001120.76,123075.18,336598.22,3142763.5
30.04.2021,1522264.53,1011684.99,123388.51,379465.5,3237985.09
31.05.2021,1464749,1088602.39,129401.25,334986.94,3305659.89
30.06.2021,1459575.71,1127820.02,131474.85,338007.1,3366876
31.07.2021,1528468.78,1186773.33,135589.18,370811.93,3531852.83
31.08.2021,1531863.02,1249116.61,140797.39,371245.71,3659445.04
30.09.2021,1467618.71,1292934.34,144024.08,323838.05,3673893.13
31.10.2021,1482430.08,1309729.97,144914.12,314547.86,3733203.82
30.11.2021,1503248.69,1288773.43,142499.91,369014.99,3733701.82
31.12.2021,1456258.75,1344263.07,145170.69,361368.52,3772696.31
31.01.2022,1465356.64,1347204.73,146836.02,347955.35,3801209.63
28.02.2022,1461933.83,1303146.68,144280.95,389305.48,3756295.96
31.03.2022,1351571.01,1373728.48,148518.7,345903.47,3756682.57
30.04.2022,1387346.85,1374149.89,147615.67,375793.29,3803683.26
31.05.2022,1343699.51,1338241.46,144800.05,378743.93,3722010.22
30.06.2022,1251613.51,1292389.52,140512.97,364492.65,3564090.2
31.07.2022,1264663.82,1422445.54,150660.23,358401.53,3774802.9
31.08.2022,1323005.91,1484950.12,155900.46,411291.99,3933877.77
30.09.2022,1260181.65,1470742.69,154007.53,352213.14,3842350.73
31.10.2022,1263379.76,1529344.41,158811.99,373212.25,3950323.28
30.11.2022,1279025.59,1565101.91,161371.3,409715,4037560.81
31.12.2022,1265127.36,1531893.54,158349.99,398344.68,3988735.37
31.01.2023,1262074.44,1512952.11,155605.86,395699.87,3962405.52
28.02.2023,1254636.28,1508342.19,153637.06,386489.73,3946256.95
31.03.2023,1209975.64,1523282.2,153898.71,332498.15,3942030.68
30.04.2023,1325975.9,1589149.4,158740.82,397785.67,4161821.62
31.05.2023,1374533.27,1661021.84,162201.19,442875.1,4320468.34
30.06.2023,1369468.17,1747576.66,166686.77,419555.58,4439187.2
31.07.2023,1439152.68,1828807.5,171714.04,474197.6,4637564.66
